OccurrenceYear,OccurrenceMonth,OccurrenceDatePart,GridID,IsWeekend,X_centroid,Y_centroid,PredictedNumberOfIncidents,geometry
2023,11,2,44,0.0,-111.88461333364282,33.43418360935718,2.961530390172507,"POLYGON ((-111.87739323399995 33.423806918142894, -111.87739323399995 33.44456030057147, -111.89183343328567 33.44456030057147, -111.89183343328567 33.423806918142894, -111.87739323399995 33.423806918142894))"
2023,11,3,1,1.0,-111.97125452935708,33.33041669721434,1.9129844900341824,"POLYGON ((-111.96403442971423 33.320040006000056, -111.96403442971423 33.34079338842862, -111.97847462899995 33.34079338842862, -111.97847462899995 33.320040006000056, -111.96403442971423 33.320040006000056))"
2023,11,3,2,,,,0.0,"POLYGON ((-111.96403442971423 33.34079338842862, -111.96403442971423 33.361546770857196, -111.97847462899995 33.361546770857196, -111.97847462899995 33.34079338842862, -111.96403442971423 33.34079338842862))"
2023,11,3,3,1.0,-111.97125452935708,33.37192346207148,6.762160571869575,"POLYGON ((-111.96403442971423 33.361546770857196, -111.96403442971423 33.38230015328576, -111.97847462899995 33.38230015328576, -111.97847462899995 33.361546770857196, -111.96403442971423 33.361546770857196))"
2023,11,3,4,1.0,-111.97125452935708,33.392676844500045,5.816237140017405,"POLYGON ((-111.96403442971423 33.38230015328576, -111.96403442971423 33.40305353571433, -111.97847462899995 33.40305353571433, -111.97847462899995 33.38230015328576, -111.96403442971423 33.38230015328576))"
2023,11,3,5,1.0,-111.97125452935708,33.41343022692861,6.929681161925619,"POLYGON ((-111.96403442971423 33.40305353571433, -111.96403442971423 33.423806918142894, -111.97847462899995 33.423806918142894, -111.97847462899995 33.40305353571433, -111.96403442971423 33.40305353571433))"
2023,11,3,6,,,,0.0,"POLYGON ((-111.96403442971423 33.423806918142894, -111.96403442971423 33.44456030057147, -111.97847462899995 33.44456030057147, -111.97847462899995 33.423806918142894, -111.96403442971423 33.423806918142894))"
2023,11,3,7,1.0,-111.95681433007135,33.33041669721434,2.6221229656010365,"POLYGON ((-111.94959423042852 33.320040006000056, -111.94959423042852 33.34079338842862, -111.96403442971423 33.34079338842862, -111.96403442971423 33.320040006000056, -111.94959423042852 33.320040006000056))"
2023,11,3,8,1.0,-111.95681433007138,33.35117007964291,7.989806648298296,"POLYGON ((-111.94959423042852 33.34079338842862, -111.94959423042852 33.361546770857196, -111.96403442971423 33.361546770857196, -111.96403442971423 33.34079338842862, -111.94959423042852 33.34079338842862))"
2023,11,3,9,1.0,-111.95681433007135,33.37192346207148,11.318525198623398,"POLYGON ((-111.94959423042852 33.361546770857196, -111.94959423042852 33.38230015328576, -111.96403442971423 33.38230015328576, -111.96403442971423 33.361546770857196, -111.94959423042852 33.361546770857196))"
2023,11,3,10,1.0,-111.95681433007135,33.392676844500045,8.998776949282036,"POLYGON ((-111.94959423042852 33.38230015328576, -111.94959423042852 33.40305353571433, -111.96403442971423 33.40305353571433, -111.96403442971423 33.38230015328576, -111.94959423042852 33.38230015328576))"
2023,11,3,11,1.0,-111.95681433007135,33.41343022692861,15.199231952316968,"POLYGON ((-111.94959423042852 33.40305353571433, -111.94959423042852 33.423806918142894, -111.96403442971423 33.423806918142894, -111.96403442971423 33.40305353571433, -111.94959423042852 33.40305353571433))"
2023,11,3,12,1.0,-111.95681433007138,33.43418360935718,9.222649704260109,"POLYGON ((-111.94959423042852 33.423806918142894, -111.94959423042852 33.44456030057147, -111.96403442971423 33.44456030057147, -111.96403442971423 33.423806918142894, -111.94959423042852 33.423806918142894))"
2023,11,3,13,,,,0.0,"POLYGON ((-111.94959423042852 33.44456030057147, -111.94959423042852 33.46531368300003, -111.96403442971423 33.46531368300003, -111.96403442971423 33.44456030057147, -111.94959423042852 33.44456030057147))"
2023,11,3,14,1.0,-111.94237413078564,33.33041669721434,2.3747980611665285,"POLYGON ((-111.9351540311428 33.320040006000056, -111.9351540311428 33.34079338842862, -111.94959423042852 33.34079338842862, -111.94959423042852 33.320040006000056, -111.9351540311428 33.320040006000056))"
2023,11,3,15,1.0,-111.94237413078568,33.35117007964291,3.0322465584591933,"POLYGON ((-111.9351540311428 33.34079338842862, -111.9351540311428 33.361546770857196, -111.94959423042852 33.361546770857196, -111.94959423042852 33.34079338842862, -111.9351540311428 33.34079338842862))"
